,1 personne,2 personnes,3 personnes,4 personnes,5 personnes,6 personnes ou plus,4 personnes ou  +,3 personnes ou +
Zurich,36.35034091,33.3674374083,12.8888296078,11.9990898606,3.8439267809,1.5503754325,17.3933920739,30.2822216817
Berne,35.9051501611,34.8232246809,11.9964217685,11.7511971944,3.9827853239,1.5412208712,17.2752033895,29.271625158
Lucerne,33.0727838107,33.0679250783,12.6630712047,13.7125573938,5.3172752229,2.1663872896,21.1962199062,33.8592911109
Uri,30.9355452815,33.6823497416,12.5237965733,14.4887136252,6.1667119935,2.2028827849,22.8583084036,35.3821049769
Schwtyz,31.1646002024,33.9685602227,13.55326417,14.0308704453,5.1983173077,2.0843876518,21.3135754049,34.8668395749
Obwald,31.295204929,32.4069113314,12.9587463166,15.2625234396,5.4781676935,2.5984462898,23.339137423,36.2978837396
Nidwald,31.3226094727,35.7071045576,13.3042895442,13.2651921358,4.6470062556,1.753798034,19.6659964254,32.9702859696
Glaris,33.8293242369,33.558783744,13.5387872728,12.9977062871,4.358054461,1.7173439981,19.0731047462,32.6118920191
Zoug,31.9776238255,33.8907469342,13.640707119,14.1921484313,4.8076923077,1.4910813824,20.4909221214,34.1316292403
Fribourg,29.8589714687,31.2099730301,15.0822875178,16.0809264965,5.7914380902,1.9764033967,23.8487679834,38.9310555013
Soleure,33.5319416214,35.2025193883,12.997356736,12.3962976856,4.2737130445,1.5981715243,18.2681822544,31.2655389903
Bâle-Ville,48.3783335407,29.1132678031,10.7969391564,8.1228484924,2.6948280868,0.8937829207,11.7114594998,22.5083986562
Bâle-Campagne,32.2697062234,36.2795368813,13.3603866943,12.8386433039,3.9502261705,1.3015007267,18.090370201,31.4507568953
Schaffhouse,36.4098939929,34.1088339223,11.9717314488,11.8501766784,4.1215547703,1.5378091873,17.509540636,29.4812720848
Appenzell Rh.-Ext.,32.2802502551,33.9486178285,12.845542885,13.1295203443,5.2846430315,2.5114256556,20.9255890314,33.7711319164
Appenzell Rh.-Int.,29.5585097653,31.2982110619,12.6210405383,13.8191367143,8.7641555884,3.9389463319,26.5222386345,39.1432791728
Saint-Gall,33.5221023003,32.8659740335,12.6941126177,13.2926015053,5.3205950305,2.3046145126,20.9178110485,33.6119236662
Grisons,37.265191791,31.70525353,12.9766192191,12.4724175384,4.2611330246,1.3193848968,18.0529354599,31.029554679
Argovie,30.9852870681,35.3999041263,13.56724068,13.7848003245,4.549946532,1.7128212692,20.0475681257,33.6148088056
Thurgovie,31.5875628632,34.3248970089,13.3456407272,13.5402551814,5.0818017297,2.1198424896,20.7418994007,34.0875401279
Tessin,37.60896,30.12736,15.17504,12.4832,3.51232,1.09312,17.08864,32.26368
Vaud,36.0470614413,29.9854439592,14.304786805,13.5946003579,4.418113772,1.6499936646,19.6627077944,33.9674945994
Valais,33.1433415176,31.2054249971,14.436455045,14.2676546241,4.9821699988,1.9649538174,21.2147784403,35.6512334853
Neuchâtel,38.145173473,30.4886953019,13.3151216073,12.7007905735,4.0195880961,1.3306309482,18.0510096178,31.3661312251
Genève,39.0303529449,25.3644907555,14.6442664053,12.8782389767,4.9472745943,3.1353763233,20.9608898943,35.6051562997
Jura,31.3493555776,31.4416601142,13.9755905781,14.4507880072,6.2391029367,2.5435027862,23.2333937301,37.2089843082
