,PLR,PDC,PS,UDC,PLS,Adl,PEV,PCS,PVL,PBD,PST,PSA,POCH,PES,AVF,Sol,Rép,DS,UDF,PSL,Lega,MCR,Autres
Zürich,11.6,5,19.3,29.8,- ,- ,3.1,0.2,11.5,5.3,0.2,- ,- ,8.4,- ,- ,- ,0.3,2.2,- ,- ,- ,3.1
Bern,8.7,2.1,19.3,29,- ,- ,4.2,- ,5.3,14.9,0.3,- ,- ,9.4,- ,- ,- ,0.6,3.1,- ,- ,- ,3.2
Luzern,18.4,27.1,11.5,25.1,- ,- ,0.7,- ,6.1,2.1,- ,- ,- ,8.3,- ,- ,- ,0.2,- ,- ,- ,- ,0.5
Uri,74.3,- ,21.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,4.3
Schwyz,15.5,20.6,15.7,38,- ,- ,1.1,- ,- ,3.4,- ,- ,- ,3.8,- ,- ,- ,- ,- ,- ,- ,- ,1.9
Obwalden,- ,- ,- ,43.1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,56.9
Nidwalden,35.2,- ,- ,45.2,- ,- ,- ,- ,- ,- ,- ,- ,- ,19.6,- ,- ,- ,- ,- ,- ,- ,- ,- 
Glarus,- ,- ,24.6,- ,- ,- ,- ,- ,- ,61.7,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,13.7
Zug,19.2,24.3,5.3,28.3,- ,- ,- ,- ,6.8,- ,- ,- ,- ,15.4,- ,- ,- ,- ,- ,- ,- ,- ,0.7
Freiburg,12.8,20.3,26.7,21.4,- ,- ,0.7,5.5,3.5,1.9,- ,- ,- ,5,- ,- ,- ,- ,0.7,- ,- ,- ,1.5
Solothurn,18.4,17.9,18.3,24.3,- ,- ,1.5,- ,5,4.4,- ,- ,- ,7.5,- ,- ,- ,- ,0.5,- ,- ,- ,2.3
Basel-Stadt,12.3,6.5,29.1,16.5,6.8,- ,2.5,- ,5.8,2.2,- ,- ,- ,13.4,- ,- ,- ,- ,0.5,- ,- ,- ,4.2
Basel-Landschaft,11.5,8.2,24.4,26.9,- ,- ,3.3,- ,5,6.4,- ,- ,- ,13.6,- ,- ,- ,0.7,- ,- ,- ,- ,- 
Schaffhausen,12.3,5.2,34.6,39.9,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,3.8,- ,- ,- ,4.3
Appenzell A.-Rh.,51.5,10.6,- ,30.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,6.4,- ,- ,- ,- ,- ,- ,- ,- ,1
Appenzell I.-Rh.,- ,76.1,20.3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,3.6
St. Gallen,12.3,20.3,16.7,31.5,- ,- ,1.8,- ,6,3.8,- ,- ,- ,6.4,- ,- ,- ,- ,1.2,- ,- ,- ,- 
Graubünden,11.9,16.6,15.6,24.5,- ,- ,- ,- ,8.3,20.5,- ,- ,- ,2.2,- ,- ,- ,- ,0.5,- ,- ,- ,- 
Aargau,11.5,10.6,18,34.7,- ,- ,3.2,- ,5.7,6.1,- ,- ,- ,7.3,- ,- ,- ,0.4,1.2,- ,- ,- ,1.3
Thurgau,11.2,14.4,12.1,38.7,- ,- ,2.9,- ,5.2,5,- ,- ,- ,7,- ,- ,- ,- ,3.5,- ,- ,- ,- 
Tessin,24.8,20,16.6,9.7,- ,- ,- ,- ,- ,- ,1.2,- ,- ,6.7,- ,- ,- ,- ,- ,- ,17.5,- ,3.4
Waadt,16.3,4.6,25.2,22.9,5.7,- ,1.1,- ,5.1,0.8,2.1,- ,- ,11.6,- ,1.8,- ,0.1,1.1,- ,- ,0.5,1.1
Wallis,18.8,39.9,14.6,19.7,- ,- ,- ,0.7,- ,0.6,- ,- ,- ,5,- ,- ,- ,- ,- ,- ,- ,- ,0.6
Neuenburg,26.9,3.5,24.7,21.4,- ,- ,- ,- ,- ,1.5,10.4,- ,- ,11.7,- ,- ,- ,- ,- ,- ,- ,- ,- 
Genf,18.6,9.8,19.1,16,- ,- ,1,- ,3.2,- ,1.3,- ,- ,14,- ,5.2,- ,- ,- ,- ,- ,9.8,1.9
Jura,9.5,33.2,30.8,15.5,- ,- ,- ,- ,- ,- ,- ,- ,- ,11,- ,- ,- ,- ,- ,- ,- ,- ,- 
