Elections au Conseil national de 1971: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'DS,'  'UDF,'  'PSL,'  'Lega,'  ','  'Rép.,'  'Autres,'  'Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,21.8 ,20.3 ,22.9 ,11.1 ,2.2 ,7.6 ,2.1 ,0.3 ,- ,- ,2.6 ,0.3 ,0.1 ,- ,- ,- ,3.2 ,- ,- ,- ,,4.3 ,1.2 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,16.8 ,9.5 ,20.9 ,12.2 ,- ,16.5 ,5.2 ,- ,,,1.6 ,- ,- ,,,,5.0 ,,,,,10.4 ,2.0 ,100 ,,,,,
Berne,17.3 ,5.3 ,31.0 ,29.2 ,- ,6.3 ,4.1 ,0.9 ,,,- ,- ,- ,,,,3.7 ,,,,,2.1 ,- ,100 ,,,,,
Lucerne,30.0 ,48.8 ,12.4 ,- ,- ,8.7 ,- ,- ,,,- ,- ,- ,,,,- ,,,,,- ,- ,100 ,,,,,
Uri,95.2 ,- ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,,,,- ,,,,,- ,4.8 ,100 ,,,,,
Schwytz,20.4 ,38.5 ,29.0 ,- ,- ,- ,- ,- ,,,- ,- ,- ,,,,- ,,,,,- ,12.1 ,100 ,,,,,
Obwald,32.5 ,67.0 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,,,,- ,,,,,- ,0.5 ,100 ,,,,,
Nidwald,- ,97.2 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,,,,- ,,,,,- ,2.8 ,100 ,,,,,
Glaris,42.4 ,- ,57.2 ,- ,- ,- ,- ,- ,,,- ,- ,- ,,,,- ,,,,,- ,0.4 ,100 ,,,,,
Zoug 1),*,*,*,*,*,*,*,*,,,*,*,*,,,,*,,,,,*,*,*,,,,,
Fribourg,24.7 ,41.5 ,19.9 ,8.7 ,- ,- ,- ,5.3 ,,,- ,- ,- ,,,,- ,,,,,- ,- ,100 ,,,,,
Soleure,34.3 ,27.7 ,26.3 ,- ,- ,7.2 ,- ,- ,,,- ,- ,- ,,,,4.6 ,,,,,- ,- ,100 ,,,,,
Bâle-Ville,11.5 ,11.2 ,30.4 ,- ,13.0 ,12.7 ,- ,- ,,,6.1 ,- ,1.8 ,,,,8.0 ,,,,,4.9 ,0.4 ,100 ,,,,,
Bâle-Campagne,23.0 ,13.3 ,28.2 ,11.8 ,- ,13.8 ,- ,- ,,,- ,- ,- ,,,,10.0 ,,,,,- ,- ,100 ,,,,,
