Elections au Conseil national de 1983: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'DS,'  'Rép. 1),'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,23.3 ,20.2 ,22.8 ,11.1 ,2.8 ,4.0 ,2.1 ,0.4 ,- ,- ,0.9 ,0.5 ,2.2 ,1.9 ,1.0 ,- ,2.9 ,0.5 ,0.4 ,- ,- ,,2.8 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,21.8 ,9.1 ,23.0 ,13.8 ,- ,9.9 ,5.4 ,- ,,,0.3 ,- ,3.8 ,4.2 ,0.6 ,,5.9 ,- ,0.6 ,,,,1.5 ,100 ,,,,,
Berne,15.1 ,2.1 ,28.3 ,29.0 ,- ,3.2 ,3.3 ,- ,,,- ,- ,1.6 ,- ,2.2 ,,6.0 ,- ,1.8 ,,,,7.4 ,100 ,,,,,
Lucerne,28.6 ,49.6 ,11.8 ,- ,- ,- ,- ,- ,,,- ,- ,8.4 ,- ,- ,,1.3 ,- ,- ,,,,0.3 ,100 ,,,,,
Uri,84.7 ,- ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,15.3 ,100 ,,,,,
Schwytz,26.0 ,46.6 ,21.0 ,6.5 ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,- ,100 ,,,,,
Obwald,- ,91.0 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,9.0 ,100 ,,,,,
Nidwald,- ,97.2 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,2.8 ,100 ,,,,,
Glaris,- ,- ,- ,92.3 ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,7.7 ,100 ,,,,,
Zoug,33.6 ,39.9 ,22.8 ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,3.8 ,100 ,,,,,
Fribourg,20.0 ,37.9 ,24.0 ,8.8 ,- ,- ,- ,7.5 ,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,1.7 ,100 ,,,,,
Soleure,37.2 ,26.7 ,27.8 ,- ,- ,4.0 ,- ,- ,,,- ,- ,3.5 ,- ,- ,,- ,- ,- ,,,,0.9 ,100 ,,,,,
Bâle-Ville,13.5 ,9.9 ,31.0 ,- ,8.3 ,7.0 ,4.8 ,- ,,,2.3 ,- ,11.9 ,- ,1.0 ,,5.3 ,- ,- ,,,,5.0 ,100 ,,,,,
