Elections au Conseil national de 1995: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'DS,'  'Rép.,'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,20.2 ,16.8 ,21.8 ,14.9 ,2.7 ,1.8 ,1.8 ,0.3 ,- ,- ,1.2 ,- ,- ,5.0 ,1.5 ,0.3 ,3.1 ,- ,1.3 ,4.0 ,0.9 ,,2.4 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,18.1 ,4.9 ,23.1 ,25.5 ,0.5 ,5.3 ,3.7 ,0.2 ,,,- ,,,6.5 ,2.7 ,- ,3.3 ,,1.9 ,3.5 ,- ,,0.9 ,100 ,,,,,
Berne,15.6 ,1.8 ,24.7 ,26.0 ,0.3 ,1.9 ,3.8 ,- ,,,- ,,,5.9 ,2.5 ,- ,5.5 ,,4.2 ,5.9 ,- ,,2.0 ,100 ,,,,,
Lucerne,25.5 ,37.3 ,11.7 ,14.1 ,- ,- ,- ,- ,,,- ,,,8.1 ,0.8 ,- ,2.2 ,,- ,- ,- ,,0.4 ,100 ,,,,,
Uri,86.0 ,- ,- ,- ,- ,- ,- ,- ,,,- ,,,- ,- ,- ,- ,,- ,- ,- ,,14.0 ,100 ,,,,,
Schwytz,24.0 ,27.4 ,19.9 ,21.5 ,- ,- ,- ,- ,,,- ,,,- ,- ,- ,3.1 ,,- ,2.8 ,- ,,1.3 ,100 ,,,,,
Obwald,- ,94.2 ,- ,- ,- ,- ,- ,- ,,,- ,,,- ,- ,- ,- ,,- ,3.8 ,- ,,2.1 ,100 ,,,,,
Nidwald,48.1 ,32.1 ,- ,- ,- ,- ,- ,- ,,,- ,,,- ,- ,- ,- ,,- ,- ,- ,,19.8 ,100 ,,,,,
Glaris,- ,,83.9 ,- ,- ,- ,- ,- ,,,- ,,,- ,- ,- ,- ,,- ,- ,- ,,16.1 ,100 ,,,,,
Zoug,22.5 ,27.1 ,17.0 ,15.2 ,- ,- ,- ,- ,,,- ,,,- ,10.4 ,- ,- ,,- ,- ,- ,,7.8 ,100 ,,,,,
Fribourg,15.9 ,36.0 ,17.3 ,8.3 ,- ,- ,- ,8.7 ,,,0.9 ,,,2.3 ,- ,- ,0.9 ,,- ,- ,- ,,9.7 ,100 ,,,,,
Soleure,25.4 ,21.5 ,24.2 ,6.7 ,- ,1.6 ,- ,- ,,,- ,,,5.8 ,- ,- ,2.8 ,,- ,10.6 ,- ,,1.3 ,100 ,,,,,
