Elections au Conseil national de 2003: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'Adl,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'Rép.,'  'DS,'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,17.3 ,14.4 ,23.3 ,26.7 ,2.2 ,- ,2.3 ,0.4 ,- ,- ,0.7 ,- ,- ,7.4 ,0.5 ,0.5 ,- ,1.0 ,1.3 ,0.2 ,0.4 ,,1.6 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,16.2 ,5.4 ,25.7 ,33.4 ,- ,,4.1 ,- ,,,- ,,,8.5 ,1.4 ,- ,,0.9 ,2.1 ,0.1 ,- ,,2.2 ,100 ,,,,,
Berne,14.8 ,2.3 ,27.9 ,29.6 ,- ,,5.2 ,- ,,,- ,,,9.3 ,- ,- ,,2.7 ,4.1 ,1.1 ,- ,,3.0 ,100 ,,,,,
Lucerne,23.1 ,29.5 ,11.1 ,22.9 ,- ,,0.8 ,- ,,,- ,,,9.8 ,- ,- ,,0.4 ,- ,- ,- ,,2.5 ,100 ,,,,,
Uri,36.6 ,- ,- ,31.3 ,- ,,- ,- ,,,- ,,,30.6 ,- ,- ,,- ,- ,- ,- ,,1.5 ,100 ,,,,,
Schwytz,15.4 ,23.4 ,17.6 ,43.6 ,- ,,- ,- ,,,- ,,,- ,- ,- ,,- ,- ,- ,- ,,- ,100 ,,,,,
Obwald,- ,66.4 ,- ,33.6 ,- ,,- ,- ,,,- ,,,- ,- ,- ,,- ,- ,- ,- ,,0.0 ,100 ,,,,,
Nidwald,88.5 ,- ,- ,- ,- ,,- ,- ,,,- ,,,- ,- ,- ,,10.2 ,- ,- ,- ,,1.2 ,100 ,,,,,
Glaris,- ,- ,67.1 ,- ,- ,,- ,- ,,,- ,,,- ,- ,- ,,- ,- ,- ,- ,,32.9 ,100 ,,,,,
Zoug,22.4 ,22.9 ,13.4 ,27.7 ,- ,,- ,- ,,,- ,,,- ,13.6 ,- ,,- ,- ,- ,- ,,- ,100 ,,,,,
Fribourg,12.8 ,25.4 ,21.5 ,21.4 ,- ,,0.7 ,10.4 ,,,- ,,,4.0 ,- ,- ,,- ,0.7 ,- ,- ,,3.1 ,100 ,,,,,
Soleure,24.0 ,21.0 ,25.4 ,22.5 ,- ,,1.2 ,- ,,,- ,,,6.0 ,- ,- ,,- ,- ,- ,- ,,- ,100 ,,,,,
Bâle-Ville,9.9 ,6.6 ,40.9 ,18.6 ,8.5 ,,2.9 ,- ,,,- ,,,9.2 ,- ,- ,,1.1 ,0.7 ,- ,- ,,1.6 ,100 ,,,,,
