Elections au Conseil national de 2007: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'Adl,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'Rép.,'  'DS,'  'UDF,'  'PSL,'  'Lega,'  'MCR,'  'Autres,'  'Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,15.8 ,14.5 ,19.5 ,28.9 ,1.9 ,- ,2.4 ,0.4 ,1.4 ,- ,0.7 ,- ,- ,9.6 ,0.2 ,0.4 ,- ,0.5 ,1.3 ,0.1 ,0.6 ,0.1 ,1.7 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,13.2 ,7.6 ,19.8 ,33.9 ,- ,- ,3.7 ,0.1 ,7.0 ,- ,0.2 ,- ,- ,10.4 ,1.1 ,- ,- ,0.5 ,2.1 ,0.1 ,- ,- ,0.3 ,100 ,,,,,
Berne,15.1 ,4.7 ,21.2 ,33.6 ,- ,- ,5.4 ,- ,- ,- ,- ,- ,- ,12.9 ,- ,- ,- ,1.5 ,3.6 ,0.6 ,- ,- ,1.3 ,100 ,,,,,
Lucerne,21.8 ,30.2 ,11.5 ,25.3 ,- ,- ,0.7 ,- ,- ,- ,- ,- ,- ,9.5 ,- ,- ,- ,- ,- ,- ,- ,- ,1.0 ,100 ,,,,,
Uri,87.3 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,12.7 ,100 ,,,,,
Schwytz,16.7 ,20.1 ,13.9 ,45.0 ,- ,- ,0.9 ,- ,- ,- ,- ,- ,- ,3.4 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,100 ,,,,,
Obwald,- ,32.5 ,11.6 ,32.9 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,23.0 ,100 ,,,,,
Nidwald 1),,,,,,,,,,,,,,,,,,,,,,,,1),,,,,
Glaris,- ,- ,55.5 ,35.1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,9.4 ,100 ,,,,,
Zoug,21.5 ,23.3 ,9.1 ,29.1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,17.0 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,100 ,,,,,
Fribourg,13.8 ,24.8 ,22.7 ,22.0 ,- ,- ,0.8 ,7.1 ,- ,- ,- ,- ,- ,6.3 ,- ,- ,- ,- ,0.9 ,- ,- ,- ,1.6 ,100 ,,,,,
Soleure,21.0 ,20.4 ,19.5 ,27.1 ,- ,- ,1.8 ,- ,- ,- ,- ,- ,- ,10.0 ,- ,- ,- ,0.4 ,- ,- ,- ,- ,- ,100 ,,,,,
