,Initiative pour les familles: déductions fiscales aussi pour les parents qui gardent eux-mêmes leurs enfants (24.11.2013),Arrêté fédéral sur la politique familiale (03.03.2013),Allocations pour enfant exonérées d'impôts (08.03.2015)
Zurich,39,53.6,20.4
Berne,43.2,49.4,20.6
Lucerne,45.1,48.8,26.1
Uri,50.7,31.8,24.4
Schwytz,51.2,36.9,24.8
Obwald,45.3,38,21.4
Nidwald,43.6,41,24.0
Glaris,42.3,42.6,16.9
Zoug,43.9,47.5,22.2
Fribourg,40.6,62.7,32.6
Soleure,41.8,50.4,25.2
Bâle-Ville,34.3,65,24.6
Bâle-Campagne,40.7,52.8,23.9
Schaffhouse,46.7,44.3,27.3
Appenzell Rh.-E.,43.9,40.6,20.4
Appenzell Rh.-I.,52.1,27.1,20.8
Saint-Gall,45.9,42.8,23.8
Grisons,44.1,48.8,21.8
Argovie,43.5,47.2,23.2
Thurgovie,48.3,41.7,22.7
Tessin,46.8,66.7,29.4
Vaud,33.2,70.8,25.7
Valais,42.4,57.6,32.2
Neuchâtel,37.1,69.8,28.3
Genève,33.8,79.1,30.0
Jura,44.6,70.3,42.8
