"","Initiative.pour.les.familles..déductions.fiscales.aussi.pour.les.parents.qui.gardent.eux.mêmes.leurs.enfants..24.11.2013.","Arrêté.fédéral.sur.la.politique.familiale..03.03.2013."
"AG",43.5,47.2
"AI",52.1,27.1
"AR",43.9,40.6
"BE",43.2,49.4
"BL",40.7,52.8
"BS",34.3,65
"FR",40.6,62.7
"GE",33.8,79.1
"GL",42.3,42.6
"GR",44.1,48.8
"JU",44.6,70.3
"LU",45.1,48.8
"NE",37.1,69.8
"NW",43.6,41
"OW",45.3,38
"SG",45.9,42.8
"SH",46.7,44.3
"SO",41.8,50.4
"SZ",51.2,36.9
"TG",48.3,41.7
"TI",46.8,66.7
"UR",50.7,31.8
"VD",33.2,70.8
"VS",42.4,57.6
"ZG",43.9,47.5
"ZH",39,53.6
